,Country,"Life Expectancy, Both Sexes - UN 2024â","LE, Female - UN 2024","LE, Male - UN 2024"
,Monaco,86.5,88.6,84.6
,San Marino,85.8,87.2,84.3
,Hong Kong,85.6,88.3,83
,Japan,84.8,87.9,81.8
,South Korea,84.4,87.3,81.3
,Saint Barthelemy,84.4,86.9,81.6
,French Polynesia,84.2,86.6,81.9
,Andorra,84.2,86.2,82.3
,Switzerland,84.1,86,82.2
,Australia,84.1,85.5,82.3
,Italy,83.9,85.9,81.8
,Singapore,83.9,86.4,81.4
,Spain,83.8,86.4,81.1
,Liechtenstein,83.8,85.4,82
,Reunion,83.7,86.5,80.7
,Gibraltar,83.6,86.2,81
,Malta,83.5,85.4,81.5
,France,83.5,86.2,80.6
,Norway,83.5,85,81.9
,Sweden,83.4,85.2,81.7
,Guernsey,83.4,85.6,81.2
,Macau,83.2,85.3,81
,Vatican City,83.1,85.2,81
,United Arab Emirates,83.1,84.3,82.2
,Iceland,83,84.5,81.6
,Martinique,82.7,85.7,79.5
,Israel,82.7,84.7,80.7
,Canada,82.7,84.9,80.5
,Ireland,82.6,84.6,80.6
,Portugal,82.5,85.3,79.7
,Qatar,82.5,83.5,81.8
,Bermuda,82.5,85.9,79.1
,Luxembourg,82.4,83.9,80.8
,Netherlands,82.3,83.8,80.7
,Belgium,82.3,84.5,80.1
,New Zealand,82.2,83.9,80.6
,Guadeloupe,82.2,85.7,78.3
,Austria,82.1,84.5,79.8
,Denmark,82.1,84,80.2
,Finland,82.1,84.8,79.4
,Greece,82,84.5,79.5
,Puerto Rico,81.9,85.4,78.3
,Cyprus,81.8,83.8,79.8
,Slovenia,81.8,84.5,79.1
,Germany,81.5,83.9,79.2
,United Kingdom,81.5,83.3,79.5
,Bahrain,81.4,82.1,80.8
,Chile,81.4,83.2,79.5
,Maldives,81.3,83,80
,Isle of Man,81.1,83.2,79
,Costa Rica,81,83.6,78.4
,Kuwait,80.6,82,79.5
,Cayman Islands,80.5,83,78.2
,Saint Martin,80.4,84,77
,Faroe Islands,80.4,82.7,78.4
,Oman,80.3,82,78.7
,Czech Republic,80,82.8,77.2
,Jersey,79.8,81.9,77.9
,Albania,79.8,81.6,77.9
,Panama,79.8,82.7,76.9
,Anguilla,79.5,82.8,76.2
,United States,79.5,82,77
,Falkland Islands,79.4,81.3,77.4
,Estonia,79.3,83.2,75.1
,Saudi Arabia,79,81.3,77.3
,Northern Mariana Islands,79,80.9,77.3
,New Caledonia,78.9,81.4,76.5
,Poland,78.8,82.5,75.1
,Croatia,78.8,81.8,75.6
,Slovakia,78.5,81.7,75.2
,Uruguay,78.3,82,74.4
,Cuba,78.3,80.7,75.9
,Turks and Caicos Islands,78.2,80.5,76
,Bosnia and Herzegovina,78,81.1,74.7
,China,78,81,75.3
,Jordan,78,80.3,75.9
,Lebanon,78,79.9,75.9
,Peru,77.9,80.3,75.6
,Colombia,77.9,80.6,75.2
,Iran,77.8,79.8,76
,Antigua and Barbuda,77.8,80.5,74.7
,Sri Lanka,77.7,80.8,74.5
,Ecuador,77.6,80.3,74.9
,Argentina,77.5,80,75
,North Macedonia,77.5,79.7,75.3
,British Virgin Islands,77.4,80.2,74.7
,Turkey,77.4,80.3,74.6
,Guam,77.4,81.6,73.7
,Montenegro,77.3,80.5,73.9
,Hungary,77.2,80.3,73.9
,French Guiana,77.2,80.2,74.3
,Tokelau,77.2,79,75.1
,Curacao,77,81,72.7
,Serbia,76.9,80.2,73.7
,Saint Pierre and Miquelon,76.9,81.6,73
,Malaysia,76.8,79.5,74.5
,Tunisia,76.7,79.3,74.1
,Thailand,76.6,81,72.3
,Sint Maarten,76.5,79.7,73.8
,Aruba,76.5,78.9,73.8
,Algeria,76.5,77.9,75.1
,Montserrat,76.3,79,74.3
,Latvia,76.3,80.6,71.8
,Barbados,76.3,78.8,73.8
,Mayotte,76.2,78.5,74.3
,Cape Verde,76.2,79.4,73
,Lithuania,76.2,80.8,71.4
,Romania,76.1,79.7,72.6
,Brazil,76,79.2,73
,Armenia,75.8,79.6,71.6
,Bulgaria,75.8,79.4,72.3
,United States Virgin Islands,75.7,81.5,70.7
,Brunei,75.5,77.7,73.5
,Morocco,75.5,77.8,73.3
,Cook Islands,75.5,79.2,72.1
,Grenada,75.4,78.5,72.5
,Mexico,75.3,78,72.4
,Nicaragua,75.1,77.6,72.5
,Mauritius,75.1,78.3,72.1
,Bangladesh,74.9,76.7,73.3
,Vietnam,74.7,79.4,70
,Bahamas,74.7,78.3,71.1
,Ukraine,74.7,79.4,69.8
,Georgia,74.7,79.2,69.8
,Belarus,74.6,79.2,69.7
,Azerbaijan,74.6,77.3,71.7
,Kazakhstan,74.5,78.5,70.3
,Paraguay,74,77.1,71
,Dominican Republic,73.9,77.1,70.7
,Suriname,73.8,77,70.6
,North Korea,73.7,75.9,71.5
,Belize,73.7,76.7,71.1
,Trinidad and Tobago,73.6,76.8,70.5
,Russia,73.3,79.2,67.5
,Bhutan,73.3,75.3,71.6
,Tonga,73.1,76.5,69.5
,Honduras,73,75.7,70.5
,Seychelles,73,76.7,70.1
,American Samoa,73,76,70.3
,Saint Lucia,72.8,76.5,69.5
,Guatemala,72.8,75,70.4
,Venezuela,72.7,76.7,68.9
,Syria,72.6,74.9,70.2
,Uzbekistan,72.5,75.5,69.6
,Iraq,72.4,74.2,70.5
,El Salvador,72.3,76.5,67.8
,Saint Kitts and Nevis,72.3,76.2,68.7
,India,72.2,73.9,70.7
,Mongolia,72,76.7,67.5
,Tajikistan,71.9,74.1,69.7
,Samoa,71.8,73.8,70
,Kyrgyzstan,71.8,75.4,68.3
,Egypt,71.8,74,69.7
,Vanuatu,71.7,74.1,69.6
,Jamaica,71.6,74.2,69.1
,Western Sahara,71.6,73.8,69.9
,Saint Vincent and the Grenadines,71.4,74.5,68.8
,Moldova,71.3,75.7,66.7
