customer_state,total_late_deliveries,total_deliveries,pct_late_deliveries,avg_freight_value
AL,89,413,21.5496,35.843671
MA,144,747,19.2771,38.257002
SE,61,350,17.4286,36.653169
CE,194,1336,14.5210,32.714202
PI,71,495,14.3434,39.147970
BA,438,3380,12.9586,26.363959
RJ,1644,12852,12.7918,20.960924
PA,119,975,12.2051,35.832685
ES,239,2033,11.7560,22.058777
PB,63,536,11.7537,42.723804
TO,30,280,10.7143,37.246603
MS,73,715,10.2098,23.374884
RN,47,485,9.6907,35.652363
PE,159,1652,9.6247,32.917863
SC,335,3637,9.2109,21.470369
GO,142,2020,7.0297,22.766815
MT,63,907,6.9460,28.166284
DF,141,2140,6.5888,21.041355
RS,358,5466,6.5496,21.735804
SP,2043,41746,4.8939,15.147275
MG,566,11635,4.8646,20.630167
AP,3,68,4.4118,34.006098
RO,11,253,4.3478,41.069712
PR,219,5045,4.3409,20.531652
AC,3,81,3.7037,40.073370
AM,5,148,3.3784,33.205394
