Category,seller_id,total_sales_price,avg_seller_review,average_delivery_days,total_late_deliveries
"Top 10 by sales",4869f7a5dfa277a7dca6462dcf3b52b2,249640.70,4.12282230,14.9364,121
"Top 10 by sales",7c67e1448b00f6e969d365cea6b010ab,239536.44,3.34144543,22.3336,120
"Top 10 by sales",53243585a1d6dc2643021fd1853d8905,235856.68,4.07598039,13.2900,12
"Top 10 by sales",4a3ca9315b744ce9f8e9374361493884,235539.96,3.80326198,14.3699,189
"Top 10 by sales",fa1c13f2614d7b5c4749cbc52fecda94,204084.73,4.34020619,13.2953,53
"Top 10 by sales",da8622b14eb17ae2831f4ac5b9dab84a,185192.32,4.06375405,11.1124,99
"Top 10 by sales",7e93a43ef30c4f03f38b393420bc753a,182754.05,4.20648968,11.2733,15
"Top 10 by sales",1025f0e2d44d7041d6cf58b6550e0bfa,172860.69,3.85310734,11.9972,95
"Top 10 by sales",7a67c85e85bb2ce8582c35f2203ad736,162648.38,4.23450947,11.1368,60
"Top 10 by sales",955fee9216a65b617aa5c0531780ce60,160602.68,4.05043712,10.6678,95
"Bottom 10 by review",1ca7077d890b907f89be8c954a02686a,15001.43,2.19852941,14.9843,19
"Bottom 10 by review",2eb70248d66e0e3ef83659f71b244378,45860.10,2.71394231,17.8832,23
"Bottom 10 by review",54965bbe3e4f07ae045b90b0b8541f52,13164.84,2.93827160,26.6543,26
"Bottom 10 by review",a49928bcdf77c55c6d6e05e09a9b4ca5,10574.25,2.95283019,16.7692,22
"Bottom 10 by review",972d0f9cf61b499a4812cf0bfa3ad3c4,10240.59,2.96428571,18.0930,10
"Bottom 10 by review",602044f2c16190c2c6e45eb35c2e21cb,4677.44,2.96428571,15.8000,11
"Bottom 10 by review",8e6d7754bc7e0f22c96d255ebda59eba,16212.51,2.97307692,14.0233,13
"Bottom 10 by review",2a1348e9addc1af5aaa619b1a3679d6b,3631.40,3.00000000,27.2157,15
"Bottom 10 by review",bbad7e518d7af88a0897397ffdca1979,5800.42,3.03571429,15.1667,19
"Bottom 10 by review",8444e55c1f13cd5c179851e5ca5ebd00,24951.27,3.07339450,21.2059,11
